time.week,hazard,lower.ci,upper.ci
1.571428571,0.006669939,0.004675914,0.009514308
1.857142857,0.006690191,0.004705908,0.009511162
2.428571429,0.006730879,0.004766106,0.009505608
2.571428571,0.00674109,0.004781195,0.009504379
2.857142857,0.006761558,0.004811419,0.009502115
3.857142857,0.006833686,0.004917598,0.009496355
4.571428571,0.006885676,0.004993715,0.009494441
5.142857143,0.006927553,0.005054698,0.009494334
6.571428571,0.007033364,0.005207108,0.00950013
7.142857143,0.007076139,0.005267886,0.009505093
7.285714286,0.007086873,0.00528305,0.009506587
7.571428571,0.007108391,0.005313334,0.009509889
8.714285714,0.007195117,0.005433703,0.009527518
9,0.007216963,0.005463552,0.009533094
10.85714286,0.007360591,0.005654165,0.009582015
11,0.007371899,0.005669017,0.009586299
11.85714286,0.007440688,0.005759863,0.009612004
12.71428571,0.007510118,0.005850271,0.0096409
13.71428571,0.00759194,0.005954904,0.009679006
15,0.00769845,0.00608753,0.009735663
16,0.007782324,0.006188707,0.009786304
16.42857143,0.007818549,0.006231424,0.009809909
17,0.007867111,0.006287698,0.009843258
17.85714286,0.007940521,0.006370485,0.009897498
19.28571429,0.008064395,0.00650347,0.009999965
19.42857143,0.008076889,0.006516388,0.010011088
19.71428571,0.008101933,0.006542,0.010033832
20.14285714,0.008139646,0.006579844,0.010069212
20.28571429,0.008152096,0.006592582,0.010080522
20.42857143,0.008163925,0.006606393,0.010088662
20.57142857,0.008175771,0.00662017,0.010096906
21,0.008211412,0.006661283,0.010122267
22.14285714,0.008307216,0.006769172,0.010194725
22.57142857,0.008343431,0.006808904,0.010223794
22.85714286,0.008367661,0.006835153,0.010243772
23.71428571,0.008440775,0.00691267,0.010306682
24,0.008465289,0.006938075,0.010328673
24.57142857,0.008514529,0.006988195,0.010374238
24.71428571,0.008526883,0.007000576,0.010385966
25,0.008551647,0.007025154,0.010409831
26,0.008638886,0.007109161,0.010497771
26.57142857,0.008689135,0.007155689,0.010551196
27.42857143,0.008765059,0.007223357,0.01063581
27.71428571,0.008790514,0.007245329,0.010665235
28,0.008816043,0.007267001,0.010695279
28.28571429,0.008841646,0.007288372,0.010725948
28.57142857,0.008867323,0.007309436,0.010757248
29,0.008905979,0.007340453,0.01080539
29.57142857,0.008957782,0.007380715,0.010871828
29.71428571,0.008969067,0.007391939,0.010882688
30.71428571,0.009045437,0.007471417,0.010951059
31,0.009067376,0.007493643,0.010971608
31.28571429,0.009089369,0.007515645,0.010992619
31.57142857,0.009111415,0.007537419,0.011014098
33.14285714,0.009233626,0.007652903,0.01114085
34.28571429,0.009323535,0.007732093,0.011242531
34.71428571,0.009357476,0.007760699,0.011282792
35,0.009380172,0.007779432,0.011310289
35.42857143,0.009414319,0.00780702,0.011352527
36,0.009460043,0.007842841,0.011410713
36.14285714,0.009471508,0.007851622,0.011425596
36.28571429,0.009482987,0.007860334,0.011440614
36.42857143,0.009494481,0.007868976,0.011455767
36.57142857,0.009505988,0.007877549,0.011471056
37.28571429,0.009563733,0.00791936,0.011549545
37.57142857,0.00958693,0.007935593,0.011581898
38.85714286,0.009692011,0.00800517,0.011734302
39,0.009702548,0.008013237,0.011747992
39.85714286,0.009755061,0.008066537,0.011797035
40.42857143,0.009790228,0.008100852,0.01183191
41.57142857,0.009860941,0.008166447,0.011907034
41.71428571,0.009869816,0.008174354,0.011916937
42.85714286,0.009941104,0.008235228,0.012000342
43,0.009950052,0.008242535,0.012011295
43.42857143,0.009976941,0.00826405,0.012044865
44.14285714,0.01002192,0.00829854,0.012103198
45.28571429,0.010094307,0.008350148,0.012202781
45.71428571,0.010121586,0.008368363,0.01224212
46.28571429,0.010158074,0.008391688,0.012296271
46.85714286,0.010194693,0.008413917,0.012352364
47.14285714,0.010213052,0.008424624,0.012381139
47.42857143,0.010231444,0.008435059,0.012410399
48.14285714,0.01027757,0.008459975,0.012485667
49.14285714,0.010316945,0.008497945,0.012525306
49.71428571,0.010337078,0.008518711,0.012543586
50.28571429,0.01035725,0.008538371,0.012563594
50.42857143,0.010362299,0.008543112,0.012568869
51,0.010382521,0.008561369,0.012591063
51.28571429,0.010392646,0.008570073,0.012602821
53,0.010453606,0.008616293,0.012682704
54,0.010489332,0.008638483,0.012736736
54.14285714,0.010494445,0.008641367,0.012744903
54.28571429,0.010499561,0.008644179,0.012753182
55.28571429,0.010535444,0.008661879,0.01281426
55.57142857,0.010545718,0.008666302,0.012832714
56.28571429,0.010571448,0.008676143,0.012880784
56.85714286,0.010592078,0.008682779,0.012921222
57,0.010597242,0.008684268,0.012931605
57.14285714,0.010602408,0.00868569,0.012942097
57.42857143,0.010612748,0.008688334,0.012963407
57.57142857,0.010617921,0.008689556,0.012974224
